Date,Price,Open,High,Low,Vol.,Change %,Date,Price,Open,High,Low,Vol.,Change %
"May 01, 2011","12,38","12,49","12,57","12,34",1.76B,-0.96%,"May 01, 2011","1340,2","1365,21","1370,58","1329,17",-,-1.72%
"Apr 24, 2011","12,5","12,51","12,68","12,34",2.33B,-0.16%,"Apr 24, 2011","1363,61","1337,14","1364,56","1331,47",-,1.96%
"Apr 17, 2011","12,52","11,65","12,68","11,43",2.48B,7.10%,"Apr 17, 2011","1337,38","1313,35","1337,49","1294,7",-,1.34%
"Apr 10, 2011","11,69","11,93",12,"11,67",1.93B,-2.34%,"Apr 10, 2011","1319,68","1329,01","1333,77","1302,42",-,-0.64%
"Apr 03, 2011","11,97","12,3","12,31","11,93",2.10B,-2.76%,"Apr 03, 2011","1328,17","1333,56","1339,46","1322,94",-,-0.32%
"Mar 27, 2011","12,31","12,61","12,65","12,26",1.68B,-1.91%,"Mar 27, 2011","1332,41","1315,45","1337,85","1305,26",-,1.42%
"Mar 20, 2011","12,55",12,"12,57","11,97",1.96B,6.27%,"Mar 20, 2011","1313,8","1281,65","1319,18","1281,65",-,2.70%
"Mar 13, 2011","11,81","12,61","12,73","11,65",3.73B,-6.05%,"Mar 13, 2011","1279,2","1301,19","1301,19","1249,05",-,-1.92%
"Mar 06, 2011","12,57","12,91","12,92","12,32",2.33B,-2.26%,"Mar 06, 2011","1304,28","1322,72","1327,68","1291,99",-,-1.28%
"Feb 27, 2011","12,86","12,54","12,87","12,42",2.42B,3.46%,"Feb 27, 2011","1321,15","1321,61","1332,28","1302,58",-,0.10%
"Feb 20, 2011","12,43","12,22","12,44","12,06",2.42B,-0.72%,"Feb 20, 2011","1319,88","1338,91","1338,91","1294,26",-,-1.53%
"Feb 13, 2011","12,52","12,74","13,03","12,48",2.42B,-1.73%,"Feb 13, 2011","1340,43","1334,37","1341,5",1331,-,0.85%
"Feb 06, 2011","12,74","12,42","12,86","12,42",2.64B,2.99%,"Feb 06, 2011","1329,15","1311,85","1330,79","1311,74",-,1.39%
"Jan 30, 2011","12,37","11,99","12,38","11,94",1.78B,3.08%,"Jan 30, 2011","1310,87","1276,5",1311,"1276,5",-,2.71%
"Jan 23, 2011",12,"11,67","12,34","11,67",2.51B,2.83%,"Jan 23, 2011","1276,34","1283,29","1302,67","1275,1",-,-0.55%
"Jan 16, 2011","11,67","11,77","12,45","11,64",4.54B,-6.27%,"Jan 16, 2011","1283,35","1293,22","1296,06","1271,26",-,-0.76%
"Jan 09, 2011","12,45","12,1","12,45","12,04",1.80B,3.75%,"Jan 09, 2011","1293,24","1270,84","1293,24","1262,18",-,1.71%
"Jan 02, 2011",12,"11,63","12,01","11,6",1.62B,4.17%,"Jan 02, 2011","1271,5","1257,62","1278,17","1257,62",-,1.10%
"Dec 26, 2010","11,52","11,53","11,67","11,48",940.32M,-0.35%,"Dec 26, 2010","1257,64","1254,66","1262,6","1251,48",-,0.07%
"Dec 19, 2010","11,56","11,49","11,63","11,37",1.13B,0.96%,"Dec 19, 2010","1256,77","1245,76","1259,39","1241,51",-,1.03%
"Dec 12, 2010","11,45","11,58","11,61","11,39",1.92B,0.00%,"Dec 12, 2010","1243,91","1242,52","1246,73","1232,85",-,0.28%
"Dec 05, 2010","11,45","11,38","11,57","11,33",1.72B,0.97%,"Dec 05, 2010","1240,4","1223,87","1240,4","1219,5",-,1.28%
"Nov 28, 2010","11,34","11,27","11,39","11,1",2.22B,0.53%,"Nov 28, 2010","1224,71","1189,08","1225,57","1173,64",-,2.97%
"Nov 21, 2010","11,28","10,95","11,35","10,92",1.56B,3.01%,"Nov 21, 2010","1189,4","1198,07","1198,94","1176,91",-,-0.86%
"Nov 14, 2010","10,95","11,02","11,09","10,63",2.42B,-0.45%,"Nov 14, 2010","1199,73","1200,44","1207,43",1173,-,0.04%
"Nov 07, 2010",11,"11,33","11,47","10,84",2.21B,-2.91%,"Nov 07, 2010","1199,21","1223,24","1226,84","1194,08",-,-2.17%
"Oct 31, 2010","11,33","10,79","11,43","10,79",2.37B,5.40%,"Oct 31, 2010","1225,85","1185,71","1227,08","1177,65",-,3.60%
"Oct 24, 2010","10,75","11,04","11,13","10,75",2.17B,-2.09%,"Oct 24, 2010","1183,26","1184,74","1196,14","1171,7",-,0.02%
"Oct 17, 2010","10,98","11,37","11,39","10,71",3.98B,-2.31%,"Oct 17, 2010","1183,08","1176,83","1189,43","1159,71",-,0.59%
"Oct 10, 2010","11,24","10,53","11,25","10,45",2.97B,7.05%,"Oct 10, 2010","1176,19","1165,32","1184,38","1155,71",-,0.95%
"Oct 03, 2010","10,5","10,06","10,52","9,92",2.67B,4.06%,"Oct 03, 2010","1165,15","1144,96","1167,73","1131,87",-,1.65%
"Sep 26, 2010","10,09","10,5","10,53","9,82",3.11B,-3.35%,"Sep 26, 2010","1146,24","1148,64","1157,16","1132,09",-,-0.21%
"Sep 19, 2010","10,44","9,86","10,48","9,85",3.35B,6.21%,"Sep 19, 2010","1148,67","1126,57","1148,9","1122,79",-,2.05%
"Sep 12, 2010","9,83","9,49","9,93","9,48",2.51B,4.46%,"Sep 12, 2010","1125,59","1113,38","1131,47","1113,38",-,1.45%
"Sep 05, 2010","9,41","9,17","9,52","9,15",1.70B,1.84%,"Sep 05, 2010","1109,55","1102,6","1110,88","1091,15",-,0.46%
"Aug 29, 2010","9,24","8,6","9,24","8,58",2.44B,7.07%,"Aug 29, 2010","1104,51","1062,9","1105,1","1040,88",-,3.75%
"Aug 22, 2010","8,63","8,99",9,"8,41",2.63B,-3.25%,"Aug 22, 2010","1064,59","1073,36","1081,58","1039,7",-,-0.66%
"Aug 15, 2010","8,92","8,84","9,1","8,81",1.89B,0.22%,"Aug 15, 2010","1071,69","1077,49","1100,14","1063,91",-,-0.70%
"Aug 08, 2010","8,9","9,34","9,36","8,79",2.26B,-4.20%,"Aug 08, 2010","1079,25","1122,8","1129,24","1076,69",-,-3.78%
"Aug 01, 2010","9,29","9,3","9,44","9,2",2.00B,1.09%,"Aug 01, 2010","1121,64","1107,53","1128,75","1107,17",-,1.82%
"Jul 25, 2010","9,19","9,29","9,5","9,1",2.62B,-0.97%,"Jul 25, 2010","1101,6","1102,89","1120,95","1088,01",-,-0.10%
"Jul 18, 2010","9,28","8,92","9,47","8,56",4.46B,4.04%,"Jul 18, 2010","1102,66","1066,85","1103,73","1056,88",-,3.55%
"Jul 11, 2010","8,92","9,23","9,35","8,8",4.43B,-3.78%,"Jul 11, 2010","1064,88","1077,23","1099,46","1063,32",-,-1.21%
"Jul 04, 2010","9,27","8,96","9,39","8,79",2.44B,5.10%,"Jul 04, 2010","1077,96","1028,09","1078,16","1018,35",-,5.42%
"Jun 27, 2010","8,82","9,53","9,63","8,69",4.18B,-7.35%,"Jun 27, 2010","1022,58","1077,5","1082,6","1010,91",-,-5.03%
"Jun 20, 2010","9,52","9,92","9,96","9,49",3.53B,-2.76%,"Jun 20, 2010","1076,76","1122,79","1131,23","1067,89",-,-3.65%
"Jun 13, 2010","9,79","9,14","9,82","9,07",3.63B,8.18%,"Jun 13, 2010","1117,51",1095,"1121,01","1089,03",-,2.37%
"Jun 06, 2010","9,05","9,22","9,26","8,65",4.06B,-0.98%,"Jun 06, 2010","1091,6","1065,84","1092,25","1042,17",-,2.51%
"May 30, 2010","9,14","9,27","9,5","9,09",2.97B,-0.33%,"May 30, 2010","1064,88","1087,3","1105,67","1060,5",-,-2.25%
"May 23, 2010","9,17","8,83","9,26","8,47",4.13B,6.01%,"May 23, 2010","1089,41","1084,78","1103,52","1040,78",-,0.16%
"May 16, 2010","8,65","9,1","9,23","8,26",5.08B,-4.53%,"May 16, 2010","1087,69","1136,52","1148,66","1055,9",-,-4.23%
"May 09, 2010","9,06","8,94","9,46","8,88",3.85B,7.60%,"May 09, 2010","1135,68","1122,27","1173,57","1122,27",-,2.23%
"May 02, 2010","8,42","9,42","9,57","7,12",5.02B,-9.66%,"May 02, 2010","1110,88","1188,58","1205,13","1065,79",-,-6.39%
"Apr 25, 2010","9,32","9,71","9,73","9,16",3.05B,-3.62%,"Apr 25, 2010","1186,69","1217,07","1219,8","1181,62",-,-2.51%
"Apr 18, 2010","9,67","8,82","9,72","8,63",3.88B,9.39%,"Apr 18, 2010","1217,28","1192,06","1217,28","1183,68",-,2.11%
"Apr 11, 2010","8,84","8,65","8,97","8,61",2.17B,2.31%,"Apr 11, 2010","1192,13","1194,94","1213,92","1186,77",-,-0.19%
"Apr 04, 2010","8,64","8,39","8,64","8,38",2.67B,2.49%,"Apr 04, 2010","1194,37","1178,71","1194,66","1175,12",-,1.38%
"Mar 28, 2010","8,43","8,32","8,53","8,27",2.10B,2.18%,"Mar 28, 2010","1178,1","1167,71","1181,43","1165,77",-,0.99%
"Mar 21, 2010","8,25","7,87","8,28","7,86",2.84B,3.90%,"Mar 21, 2010","1166,59","1157,25","1180,69","1152,88",-,0.58%
"Mar 14, 2010","7,94","8,05","8,09","7,87",2.29B,-1.85%,"Mar 14, 2010","1159,9","1148,53","1169,84","1141,45",-,0.86%
"Mar 07, 2010","8,09","7,86","8,13","7,78",2.77B,3.45%,"Mar 07, 2010","1149,99","1138,4","1153,41","1134,9",-,0.99%
"Feb 28, 2010","7,82","7,35","7,85","7,34",2.75B,6.98%,"Feb 28, 2010","1138,7","1105,36","1139,38","1105,36",-,3.10%
"Feb 21, 2010","7,31","7,23","7,33","6,99",2.60B,1.53%,"Feb 21, 2010","1104,49",1110,"1112,29","1086,02",-,-0.42%
"Feb 14, 2010","7,2","7,21","7,3","7,17",1.82B,0.56%,"Feb 14, 2010","1109,17","1079,13","1112,42","1079,13",-,3.13%
"Feb 07, 2010","7,16","6,99","7,2","6,93",2.69B,2.58%,"Feb 07, 2010","1075,51","1065,51","1080,04","1056,51",-,0.87%
"Jan 31, 2010","6,98","6,87","7,15","6,82",3.67B,1.75%,"Jan 31, 2010","1066,19","1073,89","1104,73","1044,5",-,-0.72%
"Jan 24, 2010","6,86","7,23","7,63","6,79",7.07B,-2.83%,"Jan 24, 2010","1073,87","1092,4","1103,69","1071,59",-,-1.64%
"Jan 17, 2010","7,06","7,44","7,7","7,04",2.83B,-3.95%,"Jan 17, 2010","1091,76","1136,03","1150,45","1090,18",-,-3.90%
"Jan 10, 2010","7,35","7,6","7,61","7,29",2.69B,-2.91%,"Jan 10, 2010","1136,03","1145,96","1150,41","1131,39",-,-0.78%
"Jan 03, 2010","7,57","7,62","7,7","7,47",2.57B,0.53%,"Jan 03, 2010","1144,98","1116,56","1145,39","1116,56",-,2.68%
"Dec 27, 2009","7,53","7,56","7,64","7,44",1.85B,0.80%,"Dec 27, 2009","1115,1","1127,53","1130,38","1114,81",-,-1.01%
"Dec 20, 2009","7,47",7,"7,48","6,99",1.81B,7.02%,"Dec 20, 2009","1126,48","1105,31","1126,48","1105,31",-,2.18%
"Dec 13, 2009","6,98","6,98","7,05","6,82",2.27B,0.43%,"Dec 13, 2009","1102,47","1107,84","1116,21","1093,88",-,-0.36%
"Dec 06, 2009","6,95","6,9","7,13","6,74",3.01B,0.72%,"Dec 06, 2009","1106,41","1105,52","1110,72","1085,89",-,0.04%
"Nov 29, 2009","6,9","7,18","7,24","6,8",2.88B,-3.63%,"Nov 29, 2009","1105,98","1091,07","1119,13","1086,25",-,1.33%
"Nov 22, 2009","7,16","7,25","7,36","7,08",1.38B,0.28%,"Nov 22, 2009","1091,49","1094,86","1112,38","1083,74",-,0.01%
"Nov 15, 2009","7,14","7,34","7,43","7,06",2.21B,-2.19%,"Nov 15, 2009","1091,38","1094,13","1113,69","1086,81",-,-0.19%
"Nov 08, 2009","7,3","7,03","7,32","7,01",2.08B,5.19%,"Nov 08, 2009","1093,48","1072,31","1105,37","1072,31",-,2.26%
"Nov 01, 2009","6,94","6,78","6,97","6,63",2.37B,3.12%,"Nov 01, 2009","1069,3","1036,18","1071,48","1029,38",-,3.20%
"Oct 25, 2009","6,73","7,27","7,38","6,65",3.35B,-7.55%,"Oct 25, 2009","1036,19","1080,36","1091,75","1033,38",-,-4.02%
"Oct 18, 2009","7,28","6,71","7,45","6,63",4.49B,8.33%,"Oct 18, 2009","1079,6","1088,22","1101,36","1074,31",-,-0.74%
"Oct 11, 2009","6,72","6,82","6,87","6,71",1.82B,-1.18%,"Oct 11, 2009","1087,68","1071,63","1096,56","1066,71",-,1.51%
"Oct 04, 2009","6,8","6,65","6,84","6,58",2.23B,3.03%,"Oct 04, 2009","1071,49","1026,87","1071,51","1025,92",-,4.51%
"Sep 27, 2009","6,6","6,57","6,69","6,45",2.30B,1.38%,"Sep 27, 2009","1025,21","1045,38","1069,62","1019,95",-,-1.84%
"Sep 20, 2009","6,51","6,58","6,75","6,48",2.39B,-1.51%,"Sep 20, 2009","1044,38","1067,14","1080,15","1041,17",-,-2.24%
"Sep 13, 2009","6,61","6,1","6,67","6,08",2.91B,7.48%,"Sep 13, 2009","1068,3","1040,15","1074,77",1035,-,2.45%
"Sep 06, 2009","6,15","6,18","6,23","6,06",1.97B,1.15%,"Sep 06, 2009","1042,73","1018,67","1048,18","1018,67",-,2.59%
"Aug 30, 2009","6,08","6,01","6,1","5,86",1.81B,0.16%,"Aug 30, 2009","1016,4","1025,21","1028,45","991,97",-,-1.22%
"Aug 23, 2009","6,07","6,08","6,16","5,89",1.94B,0.50%,"Aug 23, 2009","1028,93","1026,59","1039,47","1016,2",-,0.27%
"Aug 16, 2009","6,04","5,84","6,05","5,69",2.13B,1.34%,"Aug 16, 2009","1026,13","998,18","1027,59","978,51",-,2.20%
"Aug 09, 2009","5,96","5,92","6,02","5,78",1.85B,0.85%,"Aug 09, 2009","1004,09","1008,89","1013,14","992,4",-,-0.63%
"Aug 02, 2009","5,91","5,9","5,98","5,82",1.94B,1.20%,"Aug 02, 2009","1010,48","990,22",1018,"990,22",-,2.33%
"Jul 26, 2009","5,84","5,72","5,89","5,62",2.07B,2.28%,"Jul 26, 2009","987,48","978,63","996,68","968,65",-,0.84%
"Jul 19, 2009","5,71","5,47","5,71","5,35",3.45B,5.35%,"Jul 19, 2009","979,26","942,07","979,79","940,99",-,4.13%
"Jul 12, 2009","5,42","4,98","5,43","4,91",2.31B,9.49%,"Jul 12, 2009","940,38","879,57","943,96","875,32",-,6.97%
"Jul 05, 2009","4,95","4,95","4,99","4,8",2.32B,-1.00%,"Jul 05, 2009","879,13","894,27","898,72","869,32",-,-1.93%
"Jun 28, 2009",5,"5,12","5,17","4,99",1.79B,-1.77%,"Jun 28, 2009","896,42","919,86","931,92","896,42",-,-2.45%
"Jun 21, 2009","5,09","5,02","5,13","4,75",2.86B,2.21%,"Jun 21, 2009","918,9","918,13",922,"888,86",-,-0.25%
"Jun 14, 2009","4,98","4,86","4,98","4,8",2.78B,1.84%,"Jun 14, 2009","921,23","942,45","942,45","903,78",-,-2.64%
"Jun 07, 2009","4,89","5,14","5,16","4,86",3.39B,-5.42%,"Jun 07, 2009","946,21","938,12","956,23","926,44",-,0.65%
"May 31, 2009","5,17","4,87","5,23","4,86",2.66B,6.60%,"May 31, 2009","940,09","923,26","951,69","923,26",-,2.28%
"May 24, 2009","4,85","4,46","4,85","4,45",2.23B,10.98%,"May 24, 2009","919,14",887,"920,02","881,46",-,3.62%
"May 17, 2009","4,37","4,42","4,62","4,34",1.93B,0.00%,"May 17, 2009",887,"886,07","924,6","879,61",31.70B,0.47%
"May 10, 2009","4,37","4,55","4,68","4,26",2.43B,-5.21%,"May 10, 2009","882,88","922,99","922,99","878,94",31.69B,-4.99%
"May 03, 2009","4,61","4,58","4,77","4,51",2.48B,1.54%,"May 03, 2009","929,23","879,21","930,17","879,21",39.76B,5.89%
"Apr 26, 2009","4,54","4,39","4,57","4,38",2.29B,2.71%,"Apr 26, 2009","877,52","862,82","888,7","847,12",30.22B,1.30%
"Apr 19, 2009","4,42","4,35","4,54","4,24",3.36B,0.23%,"Apr 19, 2009","866,23","868,27","871,8","826,83",35.42B,-0.39%
"Apr 12, 2009","4,41","4,29","4,44","4,13",2.35B,3.28%,"Apr 12, 2009","869,6","855,33","875,63","835,58",34.20B,1.52%
"Apr 05, 2009","4,27","4,1","4,29","4,05",2.18B,3.14%,"Apr 05, 2009","856,56","839,75","856,91","814,53",24.90B,1.67%
"Mar 29, 2009","4,14","3,73","4,15","3,66",3.11B,8.38%,"Mar 29, 2009","842,5","809,07","845,61","779,81",31.43B,3.26%
"Mar 22, 2009","3,82","3,67","3,93","3,63",3.07B,5.23%,"Mar 22, 2009","815,94","772,31","832,98","772,31",34.76B,6.17%
"Mar 15, 2009","3,63","3,45","3,7","3,36",3.58B,5.83%,"Mar 15, 2009","768,54","758,84","803,24","749,93",39.82B,1.58%
"Mar 08, 2009","3,43","3,01","3,47","2,95",3.76B,12.46%,"Mar 08, 2009","756,55","680,76","758,29","672,88",37.30B,10.71%
"Mar 01, 2009","3,05","3,15","3,31","2,94",3.95B,-4.39%,"Mar 01, 2009","683,38","729,57","729,57","666,79",37.96B,-7.03%
"Feb 22, 2009","3,19","3,27","3,32","3,09",3.76B,-2.15%,"Feb 22, 2009","735,09","773,25","780,12","734,52",37.75B,-4.54%
"Feb 15, 2009","3,26","3,46","3,47","3,18",3.04B,-7.91%,"Feb 15, 2009","770,05","818,61","818,61","754,25",25.61B,-6.87%
"Feb 08, 2009","3,54","3,57","3,68","3,42",3.67B,-0.56%,"Feb 08, 2009","826,84","868,24","875,01","808,06",30.04B,-4.81%
"Feb 01, 2009","3,56","3,18","3,57","3,17",3.40B,10.56%,"Feb 01, 2009","868,6","823,09","870,75","812,87",31.09B,5.17%
"Jan 25, 2009","3,22","3,17","3,39","3,15",3.44B,1.90%,"Jan 25, 2009","825,88","832,5","877,86","821,67",28.01B,-0.73%
"Jan 18, 2009","3,16","2,93","3,21","2,79",4.19B,7.48%,"Jan 18, 2009","831,95","849,64","849,64","804,3",24.52B,-2.14%
"Jan 11, 2009","2,94","3,23","3,25","2,86",5.38B,-8.98%,"Jan 11, 2009","850,12","890,4","890,4","817,04",30.29B,-4.52%
"Jan 04, 2009","3,23","3,33","3,47","3,22",4.46B,-0.31%,"Jan 04, 2009","890,35","929,17","943,85","888,31",25.22B,-4.45%
"Dec 28, 2008","3,24","3,09","3,25","3,03",3.02B,5.88%,"Dec 28, 2008","931,8","872,37","934,73","857,07",15.17B,6.76%
"Dec 21, 2008","3,06","3,21","3,22","3,02",2.07B,-4.67%,"Dec 21, 2008","872,8","887,2","887,37","857,09",12.35B,-1.70%
"Dec 14, 2008","3,21","3,43","3,45","3,14",4.99B,-8.55%,"Dec 14, 2008","887,88","881,07","918,85","857,72",29.28B,0.93%
"Dec 07, 2008","3,51","3,47","3,7","3,3",5.41B,4.46%,"Dec 07, 2008","879,73","882,71","918,57","851,35",29.66B,0.42%
"Nov 30, 2008","3,36","3,26","3,44","3,09",5.55B,1.51%,"Nov 30, 2008","876,07","888,61","888,61","815,69",30.47B,-2.25%
"Nov 23, 2008","3,31","3,04","3,4","3,03",3.88B,12.20%,"Nov 23, 2008","896,24","801,2","896,25","801,2",23.37B,12.03%
"Nov 16, 2008","2,95","3,16","3,27","2,83",6.83B,-8.39%,"Nov 16, 2008","800,03","873,23","882,29","741,02",36.75B,-8.39%
"Nov 09, 2008","3,22","3,58","3,59","3,07",6.79B,-8.26%,"Nov 09, 2008","873,29","936,75","951,95","818,69",29.06B,-6.20%
"Nov 02, 2008","3,51","3,78","3,99","3,42",6.13B,-8.59%,"Nov 02, 2008","930,99","968,67","1007,51","899,73",26.48B,-3.90%
"Oct 26, 2008","3,84","3,4","4,01","3,28",8.10B,11.63%,"Oct 26, 2008","968,75","874,28","984,38","845,27",32.30B,10.49%
"Oct 19, 2008","3,44","3,56","3,62","3,22",9.26B,-1.15%,"Oct 19, 2008","876,77","943,51","985,44","852,85",30.19B,-6.78%
"Oct 12, 2008","3,48","3,73","4,16","3,07",8.85B,0.58%,"Oct 12, 2008","940,55","912,75","1044,31","865,83",36.53B,4.60%
"Oct 05, 2008","3,46","3,28","3,62","3,04",10.04B,-0.29%,"Oct 05, 2008","899,22","1097,56","1097,56","839,8",42.02B,-18.20%
"Sep 28, 2008","3,47","4,27","4,27","3,38",9.46B,-24.24%,"Sep 28, 2008","1099,23","1209,07","1209,07","1098,14",31.03B,-9.40%
"Sep 21, 2008","4,58",5,"5,01","4,39",5.32B,-8.95%,"Sep 21, 2008","1213,27","1255,37","1255,37","1179,79",26.64B,-3.33%
"Sep 14, 2008","5,03","5,07","5,27","4,31",6.43B,-5.45%,"Sep 14, 2008","1255,08","1250,92","1265,12","1133,5",46.64B,0.27%
"Sep 07, 2008","5,32","5,88","5,89","5,21",5.03B,-6.99%,"Sep 07, 2008","1251,7","1249,5","1274,42","1211,54",34.42B,0.76%
"Aug 31, 2008","5,72","6,16","6,2","5,63",3.05B,-5.45%,"Aug 31, 2008","1242,31","1287,83","1303,04","1217,23",20.07B,-3.16%
"Aug 24, 2008","6,05","6,29","6,29","6,04",2.44B,-4.12%,"Aug 24, 2008","1282,83","1290,47","1300,68","1263,21",17.65B,-0.73%
"Aug 17, 2008","6,31","6,27","6,35","6,14",2.66B,0.48%,"Aug 17, 2008","1292,2","1298,14","1300,22","1261,16",20.32B,-0.46%
"Aug 10, 2008","6,28","6,07","6,44","6,06",3.99B,3.63%,"Aug 10, 2008","1298,2","1294,42","1313,15","1274,86",22.67B,0.15%
"Aug 03, 2008","6,06","5,59","6,06","5,46",3.46B,8.41%,"Aug 03, 2008","1296,32","1253,27","1297,85","1247,45",20.94B,2.86%
"Jul 27, 2008","5,59","5,8","5,8","5,49",3.37B,-3.45%,"Jul 27, 2008","1260,31","1257,76","1284,93","1234,37",25.36B,0.20%
"Jul 20, 2008","5,79","5,96","6,01","5,23",5.78B,-1.86%,"Jul 20, 2008","1257,76","1261,82","1291,17","1248,83",28.32B,-0.23%
"Jul 13, 2008","5,9","6,4","6,4","5,89",4.30B,-4.22%,"Jul 13, 2008","1260,68","1241,61","1262,31","1200,44",32.56B,1.71%
"Jul 06, 2008","6,16","6,18","6,46","6,11",4.38B,1.32%,"Jul 06, 2008","1239,49","1262,9","1277,36","1225,35",29.06B,-1.85%
"Jun 29, 2008","6,08","6,08","6,34","5,86",3.16B,0.16%,"Jun 29, 2008","1262,9","1278,06","1292,17","1252,01",19.40B,-1.21%
"Jun 22, 2008","6,07","6,24","6,39","5,86",3.82B,-3.04%,"Jun 22, 2008","1278,38","1319,77","1335,63",1272,25.16B,-3.00%
"Jun 15, 2008","6,26","6,12","6,51","6,04",4.44B,1.62%,"Jun 15, 2008","1317,93","1358,85","1366,59","1314,46",22.22B,-3.10%
"Jun 08, 2008","6,16","6,6","6,67","5,9",6.65B,-7.09%,"Jun 08, 2008","1360,03","1360,83","1370,63","1331,29",22.63B,-0.05%
"Jun 01, 2008","6,63","6,74","6,78","6,51",3.89B,-1.63%,"Jun 01, 2008","1360,68","1399,62","1404,05","1359,9",21.57B,-2.83%
"May 25, 2008","6,74","6,53","6,77","6,49",2.79B,4.17%,"May 25, 2008","1400,38","1375,97","1406,32","1373,07",15.26B,1.78%
"May 18, 2008","6,47","6,71","6,74","6,14",5.19B,-3.43%,"May 18, 2008","1375,93","1425,28","1440,24","1373,72",19.53B,-3.47%
"May 11, 2008","6,7","6,61","6,87","6,53",4.20B,2.29%,"May 11, 2008","1425,35","1389,4","1425,82","1386,2",19.05B,2.67%
"May 04, 2008","6,55","6,5","6,72","6,45",4.50B,1.39%,"May 04, 2008","1388,28","1415,34","1421,57","1384,11",18.76B,-1.81%
"Apr 27, 2008","6,46","6,06","6,5","6,04",4.76B,6.60%,"Apr 27, 2008","1413,9","1397,96","1422,72","1383,07",20.33B,1.15%
"Apr 20, 2008","6,06","5,79","6,11","5,65",6.67B,5.39%,"Apr 20, 2008","1397,84","1387,72","1399,11","1369,84",19.70B,0.54%
"Apr 13, 2008","5,75","5,24","5,79","5,16",4.07B,9.52%,"Apr 13, 2008","1390,33","1332,2","1395,9","1324,35",19.34B,4.31%
"Apr 06, 2008","5,25","5,58","5,7","5,23",5.21B,-4.02%,"Apr 06, 2008","1332,83","1373,69","1386,74","1331,21",18.32B,-2.74%
"Mar 30, 2008","5,47","5,12","5,53","5,09",4.75B,7.05%,"Mar 30, 2008","1370,4","1315,92","1380,91","1312,81",20.88B,4.20%
"Mar 23, 2008","5,11","4,79","5,2","4,77",5.02B,7.35%,"Mar 23, 2008","1315,22","1330,29","1359,68","1312,95",20.42B,-1.07%
"Mar 16, 2008","4,76","4,38","4,8","4,38",4.20B,5.31%,"Mar 16, 2008","1329,51","1283,21","1341,51","1256,98",22.52B,3.21%
"Mar 09, 2008","4,52","4,36","4,65","4,26",5.65B,3.43%,"Mar 09, 2008","1288,14","1293,16","1333,26","1272,66",24.01B,-0.40%
"Mar 02, 2008","4,37","4,44","4,55","4,21",7.31B,-2.02%,"Mar 02, 2008","1293,37","1330,45","1344,19","1282,43",22.04B,-2.80%
"Feb 24, 2008","4,46","4,24","4,72","4,12",7.11B,4.45%,"Feb 24, 2008","1330,63","1352,75","1388,34","1325,42",20.23B,-1.66%
"Feb 17, 2008","4,27","4,5","4,53","4,14",4.44B,-4.04%,"Feb 17, 2008","1353,11","1355,86","1367,94","1327,04",14.75B,0.23%
"Feb 10, 2008","4,45","4,57","4,68","4,41",5.25B,-0.67%,"Feb 10, 2008","1349,99","1331,92","1369,23","1320,32",18.72B,1.40%
"Feb 03, 2008","4,48","4,79","4,85","4,19",7.05B,-6.28%,"Feb 03, 2008","1331,29","1395,38","1395,38","1316,75",20.18B,-4.60%
"Jan 27, 2008","4,78","4,58","4,88","4,52",6.17B,3.02%,"Jan 27, 2008","1395,42","1330,7","1396,02","1322,26",22.70B,4.87%
"Jan 20, 2008","4,64","5,29","5,71","4,5",9.37B,-19.44%,"Jan 20, 2008","1330,61","1312,94","1368,56","1270,05",20.40B,0.41%
"Jan 13, 2008","5,76","6,34","6,41","5,6",9.15B,-6.65%,"Jan 13, 2008","1325,19","1402,91","1417,89","1312,51",25.03B,-5.41%
"Jan 06, 2008","6,17","6,47","6,56","6,01",8.13B,-4.04%,"Jan 06, 2008","1401,02","1414,07","1430,28","1378,7",23.94B,-0.75%
"Dec 30, 2007","6,43","7,12","7,16","6,39",3.92B,-9.94%,"Dec 30, 2007","1411,63","1475,25","1475,83","1411,19",13.49B,-4.52%
"Dec 23, 2007","7,14","6,97","7,25","6,96",2.68B,3.03%,"Dec 23, 2007","1478,49","1484,55","1498,85","1471,7",8.06B,-0.40%
"Dec 16, 2007","6,93","6,81","6,93","6,38",4.84B,1.91%,"Dec 16, 2007","1484,46","1465,05","1485,4","1435,65",18.73B,1.12%
"Dec 09, 2007","6,8","6,91","7,14","6,63",4.60B,-2.02%,"Dec 09, 2007","1467,95","1505,11","1523,57","1467,78",18.51B,-2.44%
"Dec 02, 2007","6,94","6,49","6,96","6,32",4.59B,6.61%,"Dec 02, 2007","1504,66","1479,63","1510,63","1460,66",17.08B,1.59%
