Date,Open
2020-02-25,"3238,939941"
2020-02-26,"3139,899902"
2020-02-27,"3062,540039"
2020-02-28,"2916,899902"
2020-03-02,"2974,280029"
2020-03-03,"3096,459961"
2020-03-04,"3045,75"
2020-03-05,"3075,699951"
2020-03-06,"2954,199951"
2020-03-09,"2863,889893"
2020-03-10,"2813,47998"
2020-03-11,"2825,600098"
2020-03-12,"2630,860107"
2020-03-13,"2569,98999"
2020-03-16,"2508,590088"
2020-03-17,"2425,659912"
2020-03-18,"2436,5"
2020-03-19,"2393,47998"
2020-03-20,"2431,939941"
2020-03-23,"2290,709961"
2020-03-24,"2344,439941"
2020-03-25,"2457,77002"
2020-03-26,"2501,290039"
2020-03-27,"2555,870117"
2020-03-30,"2558,97998"
2020-03-31,"2614,689941"
2020-04-01,"2498,080078"
2020-04-02,"2458,540039"
2020-04-03,"2514,919922"
2020-04-06,"2578,280029"
2020-04-07,"2738,649902"
2020-04-08,2685
2020-04-09,"2776,98999"
2020-04-13,"2782,459961"
2020-04-14,"2805,100098"
2020-04-15,"2795,639893"
2020-04-16,"2799,340088"
2020-04-17,"2842,429932"
2020-04-20,"2845,620117"
2020-04-21,"2784,810059"
2020-04-22,"2787,889893"
2020-04-23,"2810,419922"
2020-04-24,"2812,639893"
2020-04-27,"2854,649902"
2020-04-28,"2909,959961"
2020-04-29,"2918,459961"
2020-04-30,"2930,909912"
2020-05-01,"2869,090088"
2020-05-04,"2815,01001"
2020-05-05,"2868,879883"
2020-05-06,"2883,139893"
2020-05-07,"2878,26001"
2020-05-08,"2908,830078"
2020-05-11,"2915,459961"
2020-05-12,"2939,5"
2020-05-13,"2865,860107"
2020-05-14,"2794,540039"
2020-05-15,"2829,949951"
2020-05-18,"2913,860107"
2020-05-19,"2948,590088"
2020-05-20,"2953,629883"
2020-05-21,"2969,949951"
2020-05-22,"2948,050049"
2020-05-26,"3004,080078"
2020-05-27,"3015,649902"
2020-05-28,"3046,610107"
2020-05-29,"3025,169922"
2020-06-01,"3038,780029"
2020-06-02,"3064,780029"
2020-06-03,"3098,899902"
2020-06-04,"3111,560059"
2020-06-05,"3163,840088"
2020-06-08,"3199,919922"
2020-06-09,"3213,320068"
2020-06-10,"3213,419922"
2020-06-11,"3123,530029"
2020-06-12,"3071,040039"
2020-06-15,"2993,76001"
2020-06-16,3131
2020-06-17,"3136,129883"
2020-06-18,"3101,639893"
2020-06-19,"3140,290039"
2020-06-22,"3094,419922"
2020-06-23,"3138,699951"
2020-06-24,"3114,399902"
2020-06-25,"3046,600098"
2020-06-26,"3073,199951"
2020-06-29,"3018,590088"
2020-06-30,"3050,199951"
2020-07-01,"3105,919922"
2020-07-02,"3143,639893"
2020-07-06,"3155,290039"
2020-07-07,"3166,439941"
2020-07-08,"3153,070068"
2020-07-09,"3176,169922"
2020-07-10,"3152,469971"
2020-07-13,"3205,080078"
2020-07-14,"3141,110107"
2020-07-15,"3225,97998"
2020-07-16,"3208,360107"
2020-07-17,"3224,209961"
2020-07-20,"3224,290039"
2020-07-21,"3268,52002"
2020-07-22,"3254,860107"
2020-07-23,"3271,639893"
2020-07-24,"3218,580078"
2020-07-27,"3219,840088"
2020-07-28,"3234,27002"
2020-07-29,"3227,219971"
2020-07-30,"3231,76001"
2020-07-31,"3270,449951"
2020-08-03,"3288,26001"
2020-08-04,"3289,919922"
2020-08-05,"3317,370117"
2020-08-06,"3323,169922"
2020-08-07,"3340,050049"
2020-08-10,"3356,040039"
2020-08-11,"3370,340088"
2020-08-12,"3355,459961"
2020-08-13,"3372,949951"
2020-08-14,"3368,659912"
2020-08-17,"3380,860107"
2020-08-18,"3387,040039"
2020-08-19,"3392,51001"
2020-08-20,"3360,47998"
2020-08-21,"3386,01001"
2020-08-24,"3418,090088"
2020-08-25,"3435,949951"
2020-08-26,"3449,969971"
2020-08-27,"3485,139893"
2020-08-28,"3494,689941"
2020-08-31,"3509,72998"
2020-09-01,"3507,439941"
2020-09-02,"3543,76001"
2020-09-03,"3564,73999"
2020-09-04,"3453,600098"
2020-09-08,"3371,879883"
2020-09-09,"3369,820068"
2020-09-10,"3412,560059"
2020-09-11,"3352,699951"
2020-09-14,"3363,560059"
2020-09-15,"3407,72998"
2020-09-16,"3411,22998"
2020-09-17,"3346,860107"
2020-09-18,"3357,379883"
2020-09-21,"3285,570068"
2020-09-22,"3295,75"
2020-09-23,"3320,110107"
2020-09-24,"3226,139893"
2020-09-25,"3236,659912"
2020-09-28,"3333,899902"
2020-09-29,"3350,919922"
2020-09-30,"3341,209961"
2020-10-01,"3385,870117"
2020-10-02,"3338,939941"
2020-10-05,"3367,27002"
2020-10-06,"3408,73999"
2020-10-07,"3384,560059"
2020-10-08,"3434,280029"
2020-10-09,"3459,669922"
2020-10-12,"3500,02002"
2020-10-13,"3534,01001"
2020-10-14,"3515,469971"
2020-10-15,"3453,719971"
2020-10-16,"3493,5"
2020-10-19,"3493,659912"
2020-10-20,"3439,379883"
2020-10-21,"3439,909912"
2020-10-22,"3438,5"
2020-10-23,"3464,899902"
2020-10-26,"3441,419922"
2020-10-27,"3403,149902"
2020-10-28,"3342,47998"
2020-10-29,"3277,169922"
2020-10-30,"3293,590088"
2020-11-02,"3296,199951"
2020-11-03,"3336,25"
2020-11-04,"3406,459961"
2020-11-05,"3485,73999"
2020-11-06,"3508,340088"
2020-11-09,"3583,040039"
2020-11-10,"3543,26001"
2020-11-11,"3563,219971"
2020-11-12,"3562,669922"
2020-11-13,"3552,570068"
2020-11-16,"3600,159912"
2020-11-17,"3610,310059"
2020-11-18,"3612,090088"
2020-11-19,"3559,409912"
2020-11-20,"3579,310059"
2020-11-23,"3566,820068"
2020-11-24,"3594,52002"
2020-11-25,"3635,5"
2020-11-27,"3638,550049"
2020-11-30,"3634,179932"
2020-12-01,"3645,870117"
2020-12-02,"3653,780029"
2020-12-03,"3668,280029"
2020-12-04,"3670,939941"
2020-12-07,"3694,72998"
2020-12-08,"3683,050049"
2020-12-09,"3705,97998"
2020-12-10,"3659,129883"
2020-12-11,"3656,080078"
2020-12-14,"3675,27002"
2020-12-15,"3666,409912"
2020-12-16,"3696,25"
2020-12-17,"3713,649902"
2020-12-18,"3722,389893"
2020-12-21,"3684,280029"
2020-12-22,"3698,080078"
2020-12-23,"3693,419922"
2020-12-24,"3694,030029"
2020-12-28,"3723,030029"
2020-12-29,"3750,01001"
2020-12-30,"3736,189941"
2020-12-31,"3733,27002"
2021-01-04,"3764,610107"
2021-01-05,"3698,02002"
2021-01-06,"3712,199951"
2021-01-07,"3764,709961"
2021-01-08,"3815,050049"
2021-01-11,"3803,139893"
2021-01-12,"3801,620117"
2021-01-13,"3802,22998"
2021-01-14,"3814,97998"
2021-01-15,"3788,72998"
2021-01-19,"3781,879883"
2021-01-20,"3816,219971"
2021-01-21,"3857,459961"
2021-01-22,"3844,23999"
2021-01-25,"3851,679932"
2021-01-26,"3862,959961"
2021-01-27,"3836,830078"
2021-01-28,"3755,75"
2021-01-29,"3778,050049"
2021-02-01,"3731,169922"
2021-02-02,"3791,840088"
2021-02-03,"3840,27002"
2021-02-04,"3836,659912"
2021-02-05,"3878,300049"
2021-02-08,"3892,590088"
2021-02-09,"3910,48999"
2021-02-10,"3920,780029"
2021-02-11,"3916,399902"
2021-02-12,"3911,649902"
2021-02-16,"3939,610107"
2021-02-17,"3918,5"
2021-02-18,"3915,860107"
2021-02-19,"3921,159912"
2021-02-22,"3885,550049"
2021-02-23,"3857,070068"
2021-02-24,"3873,709961"
